in_zone,out_zone
2.1731,14.1379
14.4284,14.2694
0.3379,11.4866
5.2265,14.3293
6.7099,19.6459
10.0742,1.7988
34.2097,5.2889
0.8356,1.6094
1.3958,11.7992
0.8561,16.4072
17.0954,10.7286
12.745,4.2286
0.7002,7.1152
14.0621,5.2078
1.4851,17.3949
26.9134,7.7886
2.1664,23.1123
1.0489,20.5019
6.0858,23.0413
10.6546,8.2854
2.8653,2.589
1.6648,16.1675
9.7314,7.4924
4.5919,2.3912
15.6726,6.6061
1.898,8.7657
1.9916,13.7157
0.2411,28.8886
13.5852,3.6148
0.6214,6.8287
2.1812,6.0886
8.577,3.9745
4.2297,11.6071
3.0489,26.5669
2.1186,21.4924
5.5157,4.6128
1.5028,19.9217
0.9534,2.8167
14.6898,18.3658
3.6575,8.3443
4.105,10.5026
5.221,4.4342
19.2087,6.8295
0.7742,5.2637
3.1153,5.5626
3.5071,32.0998
12.9416,28.307
2.9684,11.0534
2.7294,0.3429
5.7492,9.4727
1.2779,4.1224
1.0434,2.2523
3.4678,3.9515
0.9813,3.6706
0.4486,18.2402
2.3725,5.5099
1.0167,2.1901
9.5457,3.0894
0.3613,3.3349
1.9346,4.8467
3.2631,7.5447
4.2375,1.9426
1.2944,4.1368
1.5761,24.6503
20.9108,6.9107
4.7794,1.5486
24.1104,1.6963
1.8445,11.3793
11.2068,19.8504
1.9323,0.2471
10.3131,2.3883
2.306,14.7481
4.5059,13.5071
21.1721,2.0298
1.0062,6.435
0.2207,5.1941
5.5963,4.1943
1.9282,4.1517
1.559,14.0116
0.8496,4.4594
6.4007,21.3092
0.8992,7.7976
0.3076,4.6161
4.1969,2.5881
3.5248,9.0081
1.2273,5.0537
4.8665,7.5788
1.3114,8.5363
3.6368,23.0899
3.2493,30.3703
2.9028,32.0311
6.9307,7.4594
9.396,12.8402
1.6543,9.6581
4.0656,2.194
0.3695,1.6737
9.3688,4.7857
13.4503,7.8135
0.8889,5.7886
8.6135,4.6571
2.4868,11.6381
5.3881,6.9084
3.2579,29.1284
0.4887,1.3574
5.214,18.3917
1.7886,18.7752
4.4199,5.9064
1.2599,10.7093
3.6452,3.7719
5.6502,12.1434
0.0993,3.8732
1.4098,16.3259
1.7985,4.0289
3.8433,5.4554
5.1111,5.3724
2.3955,4.8284
0.3243,0.0487
3.6227,7.4721
0.5449,7.5632
5.0047,13.1599
7.3784,6.6104
0.7435,6.2274
0.7079,7.9769
3.1605,1.076
1.0819,6.7525
0.9585,10.4316
5.1187,22.3951
