in_zone,out_zone
4.0277,12.658
3.7321,2.6827
3.829,2.5163
4.1122,0.5898
1.2847,17.6459
4.0628,15.6019
5.5266,0.3353
1.2259,25.8022
2.3059,2.8545
3.2525,4.2321
18.0605,1.8043
1.664,15.0519
3.9038,0.0964
2.8909,0.1143
1.0013,0.7526
3.873,21.2473
3.7289,0.6226
2.0537,5.3344
9.0267,2.0599
2.6856,13.7391
3.9563,1.5295
3.0893,9.4425
3.8626,1.9857
2.0264,0.6604
2.7375,5.1117
2.2783,20.7589
0.7794,4.1362
2.01,0.7115
1.0023,2.1623
2.0327,1.0034
1.0133,2.0579
2.1634,1.2669
0.8608,5.2111
8.5483,21.1018
3.6912,8.9782
0.9232,0.0648
4.8106,7.3942
2.229,13.1934
0.7978,1.0605
3.5784,2.0569
2.2111,3.6256
3.9809,1.7307
0.499,2.3923
20.7456,9.5452
1.0098,0.8168
1.2,9.7561
3.4244,10.024
1.9489,1.4188
1.1306,2.495
3.0215,2.6899
1.3265,3.4946
7.4319,1.9327
0.654,1.2825
1.1428,3.5427
3.5171,0.2746
1.1711,2.4745
7.5879,2.5651
1.4244,26.2592
4.9744,2.0522
8.2859,8.8797
6.6823,1.3771
1.8666,2.5589
2.0828,15.3556
2.1546,2.1995
1.5042,8.179
2.1869,1.7391
9.6403,1.5923
0.5548,9.5839
2.0441,3.5042
14.1132,0.7934
2.0931,8.3503
1.8357,9.0878
1.9821,5.5016
0.9269,3.9078
1.7056,19.6393
0.6332,2.5352
2.5331,1.6633
2.0534,6.0004
2.5448,4.836
1.6163,2.2089
3.8505,2.7056
5.7558,1.915
8.7816,11.524
0.5766,7.3292
0.47,6.1993
7.6144,5.8283
7.6117,0.3701
1.8999,17.6166
0.6677,15.7521
1.0932,0.8954
3.0192,1.2658
2.2488,4.5842
2.8024,9.1976
1.9723,4.6164
2.726,7.1873
2.6455,2.6294
2.5144,6.7128
1.6132,2.4034
0.963,1.2385
0.8727,2.3494
5.1266,12.1721
4.2852,6.2931
0.4546,2.3993
1.0478,2.4868
3.0102,0.3667
5.1578,7.2231
0.744,10.7427
4.7983,2.6122
0.9314,7.7157
1.0496,2.0065
0.4152,0.8343
4.3779,3.4701
2.3075,13.4926
6.5741,16.5822
1.1203,0.3614
1.0041,1.7265
0.4319,2.9546
1.2918,2.8245
0.4538,5.704
0.1609,4.7709
3.6845,4.5696
4.3313,0.3727
0.3418,2.4508
2.6298,11.787
7.1508,1.8573
12.0046,2.2279
0.8145,2.5558
14.5891,0.3435
10.3221,0.5119
0.2986,2.5534
1.2193,4.0175
3.3227,2.0126
3.1879,8.9563
0.1172,2.0797
0.7355,5.5199
1.27,3.6047
2.4998,1.9611
0.6546,4.9259
1.4739,21.5875
0.1286,13.1769
6.2536,4.6055
0.7055,2.5723
1.637,3.9671
1.8789,1.2716
2.8157,0.8373
2.4971,2.0637
6.0304,9.4468
1.0923,0.6531
4.1325,8.1048
1.3784,2.5247
1.7554,3.7849
3.7229,4.0726
1.3787,2.4316
2.4654,5.185
2.5068,10.8275
6.1854,8.7239
3.0692,12.8633
2.1006,3.2409
1.6926,1.197
4.0765,0.7028
1.0118,4.111
3.6648,3.5942
1.2356,0.4484
5.009,4.4378
7.0969,5.478
0.9566,11.1728
4.0979,3.2033
4.432,4.9772
3.1437,3.1904
1.5312,1.6871
10.458,11.9871
4.6356,2.8918
4.14,0.9706
3.6855,6.1898
2.1166,3.7504
2.3467,1.4795
1.6176,3.5591
0.9898,2.2424
0.3528,1.7518
0.1579,1.0566
4.4149,3.6601
1.3046,9.4471
4.2337,2.8908
3.9465,2.1874
5.8013,3.8199
1.1623,3.0823
8.4814,2.0954
8.3531,2.0817
2.8153,2.8978
3.1344,19.6429
0.7893,8.164
2.7307,5.6619
2.0212,7.9399
2.6377,8.023
7.0538,2.4888
3.8946,5.2692
1.2079,2.3011
2.6385,5.2604
5.3316,2.9281
2.8608,14.115
2.3132,1.5607
0.378,5.8518
7.3906,9.5
0.6337,2.5634
2.8496,2.3366
13.6151,4.8934
1.4265,11.8755
1.6312,5.4844
2.5039,3.999
2.7062,2.9287
0.84,4.5657
6.4212,1.2518
1.5279,3.3287
1.7812,4.3489
1.4093,1.9702
1.2248,0.2101
1.4153,1.9242
3.4199,16.5541
1.0309,2.5916
0.3716,7.9014
0.2028,5.5341
3.7337,5.5483
1.8186,6.8462
0.159,2.3432
0.4991,12.1784
1.9926,0.4874
1.3504,2.4512
1.7058,3.3242
1.7654,0.725
1.2667,4.2095
0.6356,4.82
1.3209,4.5943
2.577,4.5081
0.839,4.7924
1.3522,5.6506
4.5585,3.3284
4.1958,0.9864
0.4387,16.998
1.0395,0.1859
0.724,5.6777
0.6831,5.3196
1.2395,1.1647
0.2839,1.6993
0.8846,7.876
8.7202,1.4468
4.8403,8.9868
5.3737,8.0556
1.4389,3.9586
1.926,7.9316
0.2734,7.5404
0.5275,5.0574
1.6176,4.7522
1.5681,2.2096
5.9089,2.7952
0.5542,7.4904
3.9718,0.8512
4.1757,5.8088
1.4263,6.2922
0.7377,16.2751
2.8507,8.0613
1.7286,9.7619
2.322,1.2877
2.9432,0.4562
6.2256,0.7355
6.6376,9.1038
5.5485,0.0744
2.0732,0.3581
3.7729,4.5061
5.7523,1.237
0.8646,4.6837
4.2183,10.6482
3.7428,4.3244
5.9024,1.3491
4.7371,0.068
0.6441,4.2452
1.269,1.7326
5.2741,1.6477
0.1962,8.711
4.2196,5.3128
4.6205,7.7619
1.5765,6.647
0.9373,7.6046
3.4614,0.6524
1.9189,5.2892
4.8489,1.0741
1.6203,2.6474
0.7939,2.2541
6.6539,2.5908
0.9332,5.4268
2.3649,7.0338
3.3663,3.7668
4.4371,1.5068
4.8502,1.8972
1.1947,4.1383
0.8275,0.4283
2.4083,3.1506
2.348,5.7211
2.3566,9.2328
1.9873,3.5257
2.7202,3.9312
3.489,0.6764
1.6542,1.4079
4.5843,6.742
2.3074,4.4314
4.8987,5.9939
1.9278,13.2342
0.6957,1.4584
1.4681,4.74
4.5885,8.3627
1.8099,13.5651
1.4591,13.9358
1.6426,0.1678
13.7986,8.6844
9.4597,2.3598
2.6994,2.3845
7.7896,9.9618
2.5907,4.3664
5.9896,5.9358
5.9167,4.1582
2.2985,5.0872
5.6772,3.0056
1.8651,5.5685
5.3228,5.3901
0.6824,2.4074
1.0167,1.5944
1.3893,1.69
1.737,4.1028
2.346,2.4017
2.8373,10.9455
4.4692,3.0315
3.939,1.9252
1.7299,11.9823
1.6793,6.1488
1.7986,0.7652
1.2265,7.286
2.9374,0.6685
0.6581,1.8469
4.5009,0.2309
1.9458,4.9998
3.9867,0.2467
0.9548,9.7894
1.2486,4.7454
0.96,3.0516
1.1762,3.3497
0.7625,4.201
0.6579,0.8868
1.4071,2.3279
1.56,1.1639
11.9591,3.6907
0.2967,17.817
0.6418,0.246
4.3901,4.1304
11.677,3.295
3.3418,17.316
0.3161,2.4294
0.8897,2.8402
3.9831,5.301
0.439,5.5127
13.6538,1.6319
1.6005,6.728
0.2406,2.2555
0.0486,0.7957
0.6788,3.1663
0.9892,3.1131
4.0192,0.3528
6.2074,0.807
1.4429,0.651
0.6295,1.2226
0.583,8.6886
3.5275,5.279
0.6171,9.0887
2.5323,5.9648
1.1021,0.4603
1.2398,9.6958
0.9675,2.9275
0.5997,2.5648
1.081,3.3095
13.3164,9.3042
0.4283,11.577
1.7192,7.976
5.4345,3.144
0.1538,0.7327
2.8651,0.2509
2.1496,9.5258
0.1931,2.7173
0.4891,7.0047
1.9272,10.1251
0.9999,4.8062
1.5271,5.3268
0.1834,6.9068
0.574,0.8345
0.1038,4.2386
0.1338,2.587
2.1593,7.2417
0.2317,5.2437
2.9554,7.2233
0.4184,12.1743
1.4274,6.0707
0.8186,4.8958
1.1029,1.3635
1.2066,10.8923
0.248,3.2153
7.4765,6.5157
1.0383,1.0846
0.0842,2.6701
1.159,6.5234
0.5083,4.4825
0.4624,3.5577
0.3986,7.0786
2.2009,2.7025
2.4586,6.6447
7.7658,0.8676
0.4677,0.828
0.6369,8.81
5.5228,2.2986
0.3991,5.6949
1.1719,7.2767
1.1127,2.4111
0.2088,0.0983
2.3141,7.0678
0.9698,2.5654
0.4264,2.3134
0.2999,0.7125
0.7321,4.6831
