in_zone,out_zone
9.3933,12.5696
8.6997,8.4036
7.4718,10.7591
6.7093,4.4462
4.9701,10.6454
8.0555,6.142
4.7023,8.2659
6.6846,6.0082
6.9229,6.9789
7.251,10.1911
7.7426,5.4505
6.8691,7.785
6.3982,6.7132
5.2621,5.7626
15.7678,6.5938
7.2595,5.4815
5.1469,6.9848
4.6058,8.2383
4.4552,7.6137
6.1336,7.3768
7.1823,5.915
6.6848,6.6982
11.3498,7.318
9.369,4.5038
7.2287,4.2052
14.1059,7.8786
6.7627,7.0896
9.5502,5.4698
6.6967,7.6881
9.8625,4.98
8.6028,9.1764
4.9176,10.0078
4.1889,4.7749
7.1964,6.1426
10.9709,7.4663
5.6362,9.8463
6.7417,5.7696
6.4131,6.5757
7.8484,8.2208
13.1798,4.548
11.6819,6.9399
7.2589,10.0144
6.9389,12.4708
7.1646,7.4607
5.6979,8.0343
12.8455,6.4137
13.0423,8.1483
4.6546,8.099
5.6259,4.1897
6.9309,8.6396
13.6433,3.8386
7.3287,3.754
7.1666,6.3438
7.4457,7.4142
7.0152,7.5502
8.064,9.0002
12.8049,3.9736
6.3732,9.8675
7.209,6.4551
6.9983,8.0861
7.0075,13.9415
5.2755,3.6275
9.6446,7.8031
9.0871,10.6076
6.0969,8.0703
5.2058,7.4351
7.4861,9.535
7.2613,5.6603
10.9978,3.7498
3.7814,7.8216
5.6511,8.2162
4.5688,9.8289
7.015,9.3972
5.7302,7.8186
6.1331,5.1817
6.6968,8.6244
6.8702,7.2616
5.2136,6.244
6.1555,7.9873
7.5115,6.7075
9.7358,6.8172
7.1522,11.1652
5.1061,6.9613
8.7966,5.9791
6.2564,5.4083
7.3487,7.8925
7.77,8.9734
6.0322,9.3018
7.6457,6.2579
6.3419,7.2842
8.2803,5.6913
5.8589,4.5987
7.9148,7.0737
10.8905,8.476
5.7724,13.5397
8.8073,9.0692
7.751,7.0343
11.5291,5.1116
8.6283,10.7941
7.6808,4.3112
7.5549,5.8541
8.6855,7.5293
11.1714,17.1639
5.3839,5.8882
8.4853,8.7123
8.4142,5.4322
6.3342,5.964
7.2764,9.6832
6.2268,6.3175
10.7144,8.2084
7.001,6.4094
7.5257,4.7232
10.2658,7.9374
5.5526,6.1143
9.108,4.8816
8.2562,8.6062
10.1931,11.0494
8.5421,7.4569
13.5838,8.2384
14.8694,9.1841
5.5647,13.4706
6.0929,12.0501
12.3352,8.1778
13.6171,6.6168
5.7519,7.1958
8.9326,7.844
8.9006,8.1016
6.134,5.8842
7.9157,6.7248
7.3912,4.5892
4.4951,4.8273
7.2622,5.1516
15.2693,7.9937
6.6308,9.3364
6.6205,6.9277
10.984,6.5429
4.3031,6.4513
4.7893,10.4045
5.281,7.1482
9.1018,7.7657
5.455,9.4415
14.2259,5.443
6.7334,8.7235
6.6578,5.7521
7.4413,8.8162
7.7001,9.5346
12.7372,4.9134
9.7302,4.1866
5.3648,7.6553
10.9507,10.6242
5.9792,4.8234
6.8205,6.4825
5.6025,5.8172
6.5957,3.7591
5.6343,11.6585
7.888,5.1923
6.4941,6.1786
4.8729,7.5624
5.4702,8.0538
4.5021,7.2775
5.8943,5.4687
6.0807,5.0068
11.0323,6.0904
5.7417,6.2821
7.5866,4.8432
9.2969,8.4335
7.2427,5.4513
8.9524,4.3426
6.727,10.2912
8.1037,9.4647
10.9111,7.3037
8.9339,6.1681
9.1198,6.018
7.185,4.577
10.0271,4.8872
5.9351,7.2586
8.1724,8.8665
10.1065,9.0679
6.3683,6.8015
5.6757,5.4705
10.0908,7.7441
8.2796,5.6263
6.2067,9.9172
13.77,6.0982
13.3855,8.4519
10.6439,5.6828
5.7492,7.7227
12.1583,14.4855
8.4417,9.5619
7.7657,5.621
11.5579,6.1358
9.9457,6.2998
7.1736,5.7822
5.6032,6.7714
8.9454,6.0569
7.9597,6.4265
10.7188,6.9802
9.2845,6.3481
8.9311,7.2374
7.0981,12.9891
13.4377,5.4078
6.8952,6.2529
8.9581,7.633
9.3116,5.3392
7.3147,10.5003
7.0944,8.0503
4.2331,8.8788
11.1285,7.3613
7.094,5.8426
13.6191,10.0422
9.0538,7.5229
6.5667,7.6028
7.3425,7.3034
9.8619,5.816
9.1395,5.1678
7.5196,4.7035
7.9761,8.0412
5.9838,7.3546
5.6538,7.057
5.9271,9.269
8.8381,4.9667
18.1311,6.8655
8.0743,11.4095
6.1115,7.7836
5.3881,7.37
9.6073,10.775
6.4557,7.5015
18.1081,5.5914
5.5562,5.4531
5.9251,9.129
8.6416,6.1952
9.4203,7.4498
6.553,7.9591
13.7889,6.9494
7.6469,11.807
14.1128,8.2147
10.7512,9.4792
4.5799,9.0289
6.9139,9.1683
6.623,7.8534
10.5759,8.0583
5.3345,7.6502
4.282,7.9002
5.4915,8.1856
9.6762,8.2324
7.6368,7.7784
5.7713,5.0622
4.8583,8.34
6.3287,8.0264
7.5522,7.4907
6.6633,5.2976
6.8108,9.0514
17.7868,8.4479
11.6073,7.7816
8.7067,5.7074
6.1406,7.668
8.7044,6.2235
8.2177,7.3736
6.1586,11.331
6.6658,7.6034
7.2519,6.8533
10.2834,7.3796
11.1192,7.7174
4.6973,6.8788
8.867,7.91
4.7839,4.4625
10.5891,8.0156
6.4139,7.2732
8.9865,5.2437
8.6409,6.1607
6.2722,6.9344
10.7424,5.4804
6.8211,8.0484
6.6523,6.3597
9.5131,7.2648
5.2012,10.684
7.1173,5.8654
9.0003,7.382
5.5524,6.4705
9.8261,8.1108
7.6482,5.6716
6.9794,9.7046
12.4267,5.4253
7.6512,8.6427
6.7087,8.6594
5.9204,5.1359
7.7025,14.6129
9.5074,6.1311
9.3337,6.8529
8.7104,7.6571
11.432,8.7769
5.3736,7.249
7.6149,5.7981
7.1087,5.6861
8.8789,9.5027
4.5913,5.4771
6.3334,6.817
5.2654,5.5434
13.2919,7.4871
7.6462,7.4173
7.0334,6.5508
8.7425,6.78
8.1032,6.8684
9.6655,6.6149
8.3242,5.6874
7.3081,8.71
9.2121,9.6247
7.4523,4.17
10.1282,5.0235
10.8636,5.3622
7.252,5.1066
6.4217,4.8965
5.0342,5.5634
5.9264,6.5282
7.1428,5.3888
8.2327,9.0993
5.2078,4.8704
8.5789,4.9219
7.0475,6.6233
9.6638,4.7706
9.8258,7.4046
9.3362,6.714
4.2746,8.4864
6.2672,8.0548
7.6582,5.9438
9.2955,7.4483
7.6839,7.2269
9.5369,5.2614
7.0227,6.0376
6.4293,4.6526
8.4658,7.5906
7.0114,7.1574
10.1413,4.8675
9.1388,6.2397
13.0545,4.463
8.6448,7.3065
8.3143,6.6178
6.3845,9.8562
7.4313,8.7926
7.1095,7.1674
7.7956,6.1664
7.0972,4.7197
8.0368,8.0941
6.3931,7.1915
8.6482,7.6518
7.8445,6.8767
7.097,6.6208
5.9808,5.9117
4.5923,6.5652
6.8006,5.9231
8.4577,6.4874
8.1417,6.0791
8.4042,8.4993
5.8959,5.7567
8.0771,5.1135
10.0352,13.977
6.5215,5.9287
7.0242,7.6135
8.9286,6.2178
9.28,8.6913
6.956,6.4585
6.666,6.3241
10.7814,6.2084
13.3839,6.9923
8.5739,9.7605
8.4088,8.3667
4.2928,9.4784
10.4791,6.7138
12.6909,7.6686
8.4978,4.7757
4.9577,4.8949
13.3111,9.1561
6.8831,6.5286
11.0633,5.4757
11.0263,9.7498
4.8457,8.34
9.6857,7.1999
9.6441,7.8399
6.6266,7.4976
6.5812,6.4017
7.1982,5.1248
7.2153,4.5089
8.7254,8.5853
8.9682,11.1345
8.3623,4.8839
8.8885,4.3425
11.3145,7.7906
8.9589,8.9039
5.0225,8.5487
5.67,6.6485
10.6365,5.7236
6.9937,6.387
13.923,6.8722
5.4406,10.7407
9.0009,5.0638
5.9616,9.1263
5.9586,8.8036
4.9366,5.9599
6.5068,6.1979
6.8184,5.3092
18.0291,7.8898
7.4725,7.5499
6.9993,7.1233
9.4672,4.5086
6.0714,5.558
10.4516,4.9637
6.8323,4.3034
11.4994,9.3771
7.5421,6.0016
6.307,8.2738
8.4313,6.075
7.606,11.7454
7.9533,7.5951
4.5575,6.3139
4.8598,4.4326
7.1927,6.8179
8.0375,7.5311
9.4567,5.383
6.0858,9.5161
4.3352,6.1338
8.6806,5.2817
6.2091,5.8371
5.5674,6.8706
11.6477,6.3814
10.3011,9.5599
4.5855,6.991
7.0388,7.308
8.4274,3.8672
6.1424,4.2568
8.3709,5.4113
6.5718,3.8636
7.02,6.9661
9.9294,13.4583
8.5649,4.6499
9.3275,8.8665
10.0893,7.7974
