in_zone,out_zone
0.1605,0.0547
0.0517,0.1381
0.0356,0.014
0.0376,0.1686
0.145,0.4909
0.1315,0.1069
0.6252,0.332
0.3853,0.7747
0.2181,0.2518
0.1707,0.0986
0.3004,0.0152
0.0637,0.1007
0.206,0.5786
0.2367,0.0308
0.0224,0.0129
0.2584,0.323
0.5236,0.1235
0.1988,0.035
0.4047,0.2934
0.4667,0.2391
0.7134,0.3118
0.1463,0.2106
0.1065,0.4296
0.1013,0.027
0.2118,0.8029
0.1545,0.1444
0.2725,0.3049
0.081,0.0345
0.2236,0.0179
0.5296,0.5956
0.0212,0.0386
0.3007,0.3967
0.4653,0.0286
0.1716,0.023
0.6661,0.0068
0.1646,0.2112
0.1472,0.7504
0.0514,0.3099
0.0618,0.0175
0.4294,0.0074
0.3683,0.2293
0.2068,0.4459
0.3407,0.2992
0.55,0.0628
0.9362,0.0337
0.189,0.8806
0.1337,0.0236
0.812,0.4877
0.2085,0.768
0.1435,0.0316
0.0308,0.2152
0.1428,0.171
0.2852,0.0238
0.1153,0.1824
0.0654,0.7418
0.5306,0.2451
0.1625,0.0442
0.0373,0.113
0.1779,0.0337
0.2029,0.0982
0.2847,0.0758
0.0788,0.0294
0.0844,0.3003
0.2059,0.0166
0.9055,0.1678
0.1374,0.0439
0.0321,0.0753
0.1601,0.8722
0.2654,0.3255
0.3785,0.0652
0.1036,0.1061
0.6301,0.2088
0.111,0.0235
0.2214,0.0114
0.3594,0.2321
0.0132,0.0251
0.0937,0.4812
0.0615,0.7364
0.7424,0.069
0.0608,0.1997
0.2175,0.1744
0.2097,0.2937
0.7229,0.7133
0.4634,0.0108
0.1972,0.6454
0.1238,0.1976
0.0708,0.2842
0.8522,0.0097
0.5815,0.0769
0.5087,0.5192
0.4605,0.0074
0.2941,0.5353
0.3233,0.1069
0.1627,0.1952
0.0816,0.4384
0.0985,0.1608
0.2077,0.4703
0.2333,0.3553
0.0497,0.0184
0.3576,0.0375
0.1506,0.0771
0.5608,0.0427
0.5742,0.6232
0.1586,0.5158
0.102,0.3617
0.3781,0.0342
0.3478,0.1045
0.3894,0.0787
0.0329,0.2625
0.4722,0.3644
0.2168,0.0238
0.0908,0.047
0.3542,0.0189
0.0831,0.1011
0.7914,0.1042
0.4033,0.0796
0.5854,0.513
0.2008,0.0535
0.0317,0.1289
0.0874,0.1676
0.0481,0.0046
0.1071,0.0124
0.022,0.0484
0.0337,0.0134
0.384,0.0087
0.674,0.3556
0.507,0.0033
0.622,0.0154
0.2449,0.0589
0.6573,0.0629
0.5753,0.0264
0.5566,0.0171
0.7321,0.0199
0.0363,0.2148
0.3246,0.428
0.5859,0.0071
0.3728,0.3328
0.0199,0.0086
0.4721,0.2612
0.3253,0.1212
0.3015,0.2073
0.4586,0.0587
0.2329,0.0789
0.8449,0.3365
0.659,0.0062
0.3569,0.0562
0.3929,0.3262
0.4327,0.1153
0.3809,0.091
0.4139,0.6506
0.0076,0.1929
0.1484,0.2847
0.1312,0.012
0.0872,0.3123
0.2421,0.0645
0.5624,0.8041
0.0782,0.2827
0.3716,0.0758
0.2439,0.0135
0.3756,0.1508
0.7113,0.1792
0.5385,0.3308
0.2866,0.1688
0.1212,0.0112
0.2246,0.0815
0.1172,0.5193
0.0715,0.1402
0.1134,0.1967
0.0302,0.1536
0.0606,0.5825
0.2575,0.019
0.0152,0.5716
0.0403,0.0219
0.3734,0.5857
0.0336,0.9319
0.4789,0.0125
0.1089,0.0127
0.0348,0.0236
0.1755,0.1112
0.6513,0.3879
0.2652,0.334
0.0186,0.8507
0.467,0.036
0.0916,0.1551
0.5693,0.0576
0.0053,0.3091
0.0993,0.1794
0.3621,0.0492
0.0124,0.5748
0.0531,0.4077
0.1227,0.0625
0.3172,0.2556
0.179,0.265
0.6882,0.0356
0.2897,0.2548
0.1565,0.6491
0.009,0.021
0.1771,0.1788
0.5639,0.0728
0.327,0.7681
0.2995,0.0243
0.0086,0.0129
0.0974,0.0343
0.6427,0.6126
0.0296,0.0254
0.0475,0.0316
0.2412,0.1738
0.3315,0.0975
0.0559,0.4191
0.0566,0.2372
0.3745,0.3539
0.485,0.3045
0.1623,0.0417
0.4328,0.3355
0.3092,0.6887
0.3998,0.1291
0.7624,0.0356
0.4095,0.2843
0.7825,0.0745
0.245,0.3106
0.5183,0.1326
0.616,0.0284
0.0882,0.4545
0.3932,0.4965
0.0532,0.0048
0.0819,0.003
0.8818,0.8361
0.1446,0.1241
0.1602,0.1182
0.1547,0.1818
0.2548,0.0486
0.1163,0.2169
0.0945,0.0268
0.0025,0.3564
0.1704,0.0953
0.3318,0.0517
0.3346,0.4675
0.1987,0.0196
0.3174,0.3989
0.1714,0.2082
0.1561,0.0021
0.1411,0.3614
0.0018,0.5831
0.1509,0.145
0.2632,0.1808
0.2525,0.051
0.1899,0.1967
0.002,0.1299
0.1786,0.7977
0.2884,0.1945
0.0137,0.2983
0.132,0.2477
0.1676,0.0576
0.1561,0.0794
0.0414,0.0271
0.0574,0.4918
0.1733,0.5815
0.7494,0.2016
0.2252,0.5914
0.7459,0.0204
0.3088,0.0834
0.0624,0.4658
0.2714,0.5262
0.0491,0.775
0.2148,0.0354
0.0457,0.4269
0.087,0.0045
0.0546,0.0378
0.3332,0.0568
0.5669,0.3431
0.1593,0.0625
0.6633,0.4414
0.0677,0.2156
0.6852,0.0514
0.7808,0.5682
0.0495,0.8991
0.1097,0.2132
0.6561,0.3713
0.2213,0.0269
0.0369,0.1099
0.5442,0.3638
0.0465,0.1931
0.126,0.2603
0.1505,0.2922
0.7638,0.3736
0.0548,0.0112
0.6358,0.4516
0.1305,0.0283
0.034,0.0293
0.5156,0.5322
0.0388,0.0198
0.0559,0.0573
0.2842,0.0469
0.2043,0.2457
0.0616,0.4247
0.3698,0.7105
0.4621,0.0073
0.5132,0.0483
0.0682,0.5175
0.0317,0.0471
0.3871,0.3818
0.6642,0.1006
0.7764,0.4016
0.0624,0.3722
0.0819,0.0713
0.0607,0.4454
0.5318,0.0121
0.4455,0.0625
0.176,0.0605
0.2834,0.006
0.1773,0.7062
0.1796,0.513
0.1221,0.0427
0.5667,0.1496
0.3221,0.7536
0.0544,0.0908
0.0603,0.011
0.1368,0.0994
0.056,0.3085
0.2166,0.758
0.0186,0.0063
0.0909,0.3223
0.0999,0.5296
0.0574,0.0129
0.0294,0.8436
0.0037,0.6908
0.334,0.1014
0.0345,0.7747
0.0377,0.4306
0.0023,0.0377
0.0165,0.5221
0.3356,0.3797
0.0563,0.7651
0.0239,0.0795
0.0664,0.8518
0.4346,0.1024
0.0767,0.0816
0.0151,0.0162
0.0021,0.0922
0.0166,0.2367
0.01,0.3228
0.6043,0.0207
0.1672,0.1896
0.0043,0.0874
0.3094,0.1415
0.5127,0.1776
0.506,0.0988
0.2811,0.1753
0.5093,0.2379
0.0785,0.2451
0.5968,0.5526
0.015,0.3512
0.0296,0.0346
0.0487,0.0093
0.0916,0.3012
0.0577,0.5295
0.6298,0.6711
0.0301,0.3993
0.2878,0.2354
0.6278,0.0083
0.0464,0.0163
0.0255,0.4541
0.0974,0.6846
0.1939,0.1174
0.0107,0.5958
0.0121,0.8049
0.5461,0.2456
0.1338,0.5257
0.0544,0.0094
0.0491,0.0257
0.3209,0.3978
0.0155,0.0975
0.0793,0.2345
0.1564,0.0091
0.7504,0.0143
0.6009,0.1213
0.0771,0.0151
0.1785,0.0063
0.1646,0.7086
0.1807,0.0349
0.1276,0.5651
0.0568,0.0298
0.0337,0.1442
0.0313,0.02
0.488,0.0072
0.0275,0.6017
0.0308,0.1857
0.0177,0.0292
0.026,0.0912
0.0626,0.06
0.0279,0.3028
0.6722,0.3409
0.0393,0.2238
0.0539,0.3736
0.2363,0.0107
0.0225,0.0744
0.3549,0.3957
0.0232,0.0674
0.0669,0.0077
0.5361,0.0343
0.4495,0.0012
0.1101,0.7619
0.3828,0.6224
0.3659,0.3138
0.2072,0.033
0.405,0.7846
0.7748,0.2755
0.4776,0.3468
0.7407,0.013
0.1855,0.2062
0.6144,0.5593
0.5524,0.3512
0.1287,0.3911
0.063,0.0729
0.1479,0.0293
0.1496,0.0198
0.2215,0.8437
0.1531,0.093
0.3561,0.0103
0.0664,0.5885
0.6954,0.2459
0.3727,0.4242
0.4901,0.2392
0.1252,0.0256
0.3898,0.0327
0.0862,0.2197
0.3331,0.0095
0.1044,0.0578
0.175,0.136
0.2121,0.5618
0.3138,0.0628
0.3277,0.2393
0.3988,0.4175
0.1923,0.104
0.4801,0.0567
0.1819,0.5978
0.476,0.075
0.2162,0.4117
0.4743,0.2162
0.2157,0.1177
0.0822,0.0648
0.0222,0.9101
0.4093,0.043
0.0249,0.0183
0.0305,0.4884
0.6602,0.1755
0.0472,0.6975
0.0588,0.3922
0.1008,0.0854
0.1904,0.0263
0.0852,0.5369
0.0791,0.1089
0.5942,0.2631
0.0522,0.0468
0.1794,0.0257
0.2726,0.7036
0.1965,0.14
0.0813,0.0474
0.3537,0.0348
0.4494,0.0468
0.3815,0.2008
0.0671,0.0448
0.1261,0.1595
0.2544,0.0071
0.1439,0.026
0.8,0.1869
0.3703,0.1266
0.1183,0.038
0.8311,0.8403
0.4559,0.0369
0.1375,0.0464
0.1881,0.0154
0.2565,0.0061
0.1419,0.1026
0.1711,0.0534
0.5256,0.323
0.626,0.3217
0.0231,0.3159
0.1999,0.3857
0.3978,0.0296
0.5739,0.0641
0.2071,0.1747
0.0164,0.1705
0.0655,0.0051
0.0562,0.1133
0.1352,0.0085
0.3603,0.0934
0.2862,0.1198
0.252,0.1475
0.242,0.3139
0.2858,0.0123
0.2832,0.0579
0.0335,0.1052
0.2945,0.0993
0.0136,0.0464
0.0307,0.6447
0.3649,0.0068
0.1817,0.0041
0.0146,0.1739
0.0478,0.6042
0.412,0.1471
0.1189,0.0122
0.4883,0.232
0.0459,0.1937
0.0178,0.2231
