FID,TPI,TWI,Pente,CircVarAsp,Zone
"123",0.0000,6.8748,2.0801,0.004,"1"
"124",0.0000,8.7747,1.0197,0.687,"1"
"125",0.0000,8.6965,3.6921,0.004,"1"
"126",0.0000,9.6897,0.9042,0.812,"1"
"127",0.0000,6.3175,4.7958,0.056,"1"
"128",0.0000,5.2495,10.2640,0.062,"1"
"129",0.0000,8.1478,1.6302,0.715,"1"
"130",0.0000,9.6818,1.7397,0.002,"1"
"131",0.2446,8.4562,0.7325,0.055,"1"
"132",0.0000,9.9556,1.0432,0.349,"1"
"133",0.0000,10.1842,9.5381,0.006,"1"
"134",0.0000,6.8641,0.3691,0.022,"1"
"135",0.0000,10.6598,0.2784,0.527,"1"
"136",0.0392,7.9010,0.2524,0.170,"1"
"137",0.0414,5.1366,9.0954,0.010,"1"
"138",0.0000,9.0395,2.9090,0.002,"1"
"139",0.0149,8.0868,2.5030,0.006,"1"
"140",0.0047,8.8092,0.6812,0.767,"1"
"141",0.0000,8.5515,0.8894,0.792,"1"
"142",0.0000,9.3651,0.6354,0.181,"1"
"143",0.0000,9.9456,1.8408,0.003,"1"
"144",0.0327,10.0546,2.4577,0.004,"1"
"145",0.0000,10.7090,0.1106,0.209,"1"
"146",0.0060,8.0998,2.5759,0.004,"1"
"147",0.0000,6.4986,2.7980,0.003,"1"
"148",0.0327,6.2805,0.7879,0.729,"1"
"149",0.0000,12.1099,0.4054,0.280,"1"
"150",0.0000,6.6621,3.2171,0.014,"1"
"151",0.0000,9.4868,1.4471,0.062,"1"
"152",0.0000,10.0397,0.8925,0.424,"1"
"153",0.0000,7.1416,6.5876,0.012,"1"
"154",0.0000,6.4478,0.7029,0.380,"1"
"155",0.0000,7.8323,0.4246,0.122,"1"
"156",0.0000,7.9719,0.4287,0.484,"1"
"157",0.0180,8.5111,4.9838,0.029,"1"
"158",0.0000,6.7043,17.8981,0.030,"1"
"159",0.0424,9.6912,1.3546,0.028,"1"
"160",0.0000,6.2108,0.6592,0.171,"1"
"161",0.0453,7.0341,8.2646,0.026,"1"
"162",0.0000,14.4940,0.3438,0.825,"1"
"163",0.0000,6.9235,4.9022,0.018,"1"
"164",0.0000,5.7140,25.1064,0.027,"1"
"165",0.0000,5.2318,1.8050,0.410,"1"
"166",0.0000,9.1859,2.5122,0.074,"1"
"167",0.0623,8.9477,2.8831,0.004,"1"
"168",0.0000,9.0718,5.0019,0.021,"1"
"169",0.1129,6.0778,5.2938,0.029,"1"
"170",0.0000,5.1264,3.2546,0.470,"1"
"171",0.0000,7.3718,0.3879,0.464,"1"
"172",0.0000,8.2229,2.8751,0.012,"1"
"173",0.0120,9.7093,1.3579,0.014,"1"
"174",0.0000,6.4314,15.3838,0.012,"1"
"175",0.0000,6.1163,17.3652,0.015,"1"
"176",0.0677,9.1737,1.9205,0.004,"1"
"177",0.1617,7.7748,0.2274,0.895,"1"
"178",0.0000,10.5430,1.9189,0.009,"1"
"179",0.0000,10.4237,0.8697,0.049,"1"
"180",0.0000,8.8578,6.6552,0.010,"1"
"181",0.0000,5.2965,6.7276,0.165,"1"
"182",0.0000,9.1132,2.4353,0.045,"1"
"183",0.0000,6.8689,2.4119,0.035,"1"
"184",0.3263,4.8338,4.0580,0.067,"1"
"185",0.0000,7.5791,1.7586,0.078,"1"
"186",0.0000,6.9618,0.5047,0.847,"1"
"187",0.0000,8.3088,0.9013,0.284,"1"
"188",0.1985,4.2964,5.7415,0.027,"1"
"189",0.0000,13.4793,0.7875,0.573,"1"
"190",0.0000,5.5210,23.0284,0.072,"1"
"191",0.0000,10.8527,14.7420,0.079,"1"
"192",0.1393,9.3639,1.0273,0.054,"1"
"193",0.0000,11.4147,2.0358,0.031,"1"
"194",0.0000,17.2442,1.1068,0.055,"1"
"195",0.0000,7.8753,5.1022,0.001,"1"
"196",0.0000,6.9095,5.6180,0.019,"1"
"197",0.0000,15.8262,2.6943,0.055,"1"
"198",0.0000,7.1248,5.8775,0.019,"1"
