OBJECTID,PK,FK,NUMR_ZONE_,CODE_DEPOT,CODE_APPEL,NOTE_DEPOT,REF_AUTRE,CODE_SYMBL,DATE_PREM_,NUMR_INTER,GEOMETRIE_,GEOMETRIE1,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority
"19",&NUMR_ZONE_SEDM,,70087.00000000000,LGb,,,,LGb,2013-01-29,70087.00000000000,0.06913224451,0.00004887332,17091.000000000000000,-832.159917338670766,-0.048689948940300,-0.044853266328573,0.319985816190956,-1.000000000000000,1.000000000000000,2.000000000000000,-0.992072522640228,1.000000000000000
"20",&NUMR_ZONE_SEDM,,70199.00000000000,LGd,,,,LGd,2013-01-29,70199.00000000000,0.01765014233,0.00001004970,3516.000000000000000,-233.126594828364944,-0.066304492272004,-0.064995285123587,0.244990701868335,-1.000000000000000,1.000000000000000,2.000000000000000,-0.885077476501465,-1.000000000000000
"187",&NUMR_ZONE_SEDM,,69986.00000000000,LGa,,,,LGa,2013-01-29,69986.00000000000,0.12201477945,0.00010892877,38049.000000000000000,-1412.090999491395451,-0.037112433953360,-0.037409305572510,0.324855975903123,-1.000000000000000,1.000000000000000,2.000000000000000,-0.995562136173248,-1.000000000000000
"189",&NUMR_ZONE_SEDM,,70082.00000000000,LGb,,,,LGb,2013-01-29,70082.00000000000,0.01001555014,0.00000494459,1729.000000000000000,-145.036457285423239,-0.083884590679828,-0.099298596382141,0.218066700482100,-0.820747017860413,0.849329352378845,1.670076370239258,-0.820747017860413,-0.820747017860413
"190",&NUMR_ZONE_SEDM,,70093.00000000000,LGb,,,,LGb,2013-01-29,70093.00000000000,0.11491229066,0.00014740336,51488.000000000000000,-1047.947126602872913,-0.020353230395488,-0.010659409221262,0.358515424471791,-1.000000000000000,1.000000000000000,2.000000000000000,-0.994752943515778,1.000000000000000
"191",&NUMR_ZONE_SEDM,,70100.00000000000,LGb,,,,LGb,2013-01-29,70100.00000000000,0.05387919359,0.00008544607,29831.000000000000000,174.220530003018212,0.005840251081191,-0.005106062628329,0.314136627568352,-1.000000000000000,1.000000000000000,2.000000000000000,-0.993294596672058,1.000000000000000
"192",&NUMR_ZONE_SEDM,,70104.00000000000,LGb,,,,LGb,2013-01-29,70104.00000000000,0.07554580631,0.00018297724,63878.000000000000000,-1350.839016713031924,-0.021147171431683,-0.017431478016078,0.260482188266838,-1.000000000000000,1.000000000000000,2.000000000000000,-0.990771949291229,1.000000000000000
"194",&NUMR_ZONE_SEDM,,70203.00000000000,LGd,,,,LGd,2013-01-29,70203.00000000000,0.01845533536,0.00001063578,3721.000000000000000,-190.701223048527027,-0.051249992756927,-0.052168741822243,0.301228087177339,-1.000000000000000,1.000000000000000,2.000000000000000,-1.000000000000000,1.000000000000000
"346",&NUMR_ZONE_SEDM,,70009.00000000000,LGa,,,,LGa,2013-01-29,70009.00000000000,0.07060607234,0.00004152443,14515.000000000000000,-624.217467170182886,-0.043004992571146,-0.058140885084867,0.334774372368266,-1.000000000000000,1.000000000000000,2.000000000000000,-0.985443592071533,1.000000000000000
"347",&NUMR_ZONE_SEDM,,70013.00000000000,LGa,,,,LGa,2013-01-29,70013.00000000000,0.05913936871,0.00006164018,21537.000000000000000,115.888774722577182,0.005380915388521,0.008526434190571,0.324374979827398,-1.000000000000000,1.000000000000000,2.000000000000000,-0.992897570133209,1.000000000000000
"506",&NUMR_ZONE_SEDM,,70016.00000000000,LGa,,,,LGa,2013-01-29,70016.00000000000,0.09293908764,0.00004865903,5909.000000000000000,-465.020046601799550,-0.078696910915857,-0.081461697816849,0.305186976087065,-1.000000000000000,1.000000000000000,2.000000000000000,-0.961429357528687,1.000000000000000
"508",&NUMR_ZONE_SEDM,,70078.00000000000,LGb,,,,LGb,2013-01-29,70078.00000000000,0.05851759803,0.00004711498,16478.000000000000000,-1557.717248413504421,-0.094533150164674,-0.064962305128574,0.364331033117335,-1.000000000000000,1.000000000000000,2.000000000000000,-0.997612535953522,1.000000000000000
"509",&NUMR_ZONE_SEDM,,70090.00000000000,LGb,,,,LGb,2013-01-29,70090.00000000000,0.05878269661,0.00004442126,15508.000000000000000,-1085.085320681260328,-0.069969391325849,-0.074000529944897,0.281981017357902,-1.000000000000000,1.000000000000000,2.000000000000000,-0.988596498966217,1.000000000000000
"663",&NUMR_ZONE_SEDM,,70014.00000000000,LGa,,,,LGa,2013-01-29,70014.00000000000,0.07463373796,0.00003789966,13243.000000000000000,-243.830305142002544,-0.018412014282414,-0.017776889726520,0.299142595998770,-1.000000000000000,1.000000000000000,2.000000000000000,-0.992922902107239,1.000000000000000
